"DOCUMENTACIÓN","Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses"
"UNIDADES","Porcentaje"
"FRECUENCIA","Diaria"
"CÓDIGO DE IDENTIFICACIÓN","D_DNBAF172"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"17oct05",2.409
"18oct05",2.424
"19oct05",2.416
"20oct05",2.415
"21oct05",2.428
"22oct05","-"
"23oct05","-"
"24oct05",2.421
"25oct05",2.432
"26oct05",2.489
"27oct05",2.505
"28oct05",2.542
"29oct05","-"
"30oct05","-"
"31oct05",2.552
"01nov05",2.551
"02nov05",2.570
"03nov05",2.600
"04nov05",2.605
"05nov05","-"
"06nov05","-"
"07nov05",2.639
"08nov05",2.683
"09nov05",2.652
"10nov05",2.683
"11nov05",2.675
"12nov05","-"
"13nov05","-"
"14nov05",2.674
"15nov05",2.703
"16nov05",2.684
"17nov05",2.668
"18nov05",2.681
"19nov05","-"
"20nov05","-"
"21nov05",2.783
"22nov05",2.760
"23nov05",2.745
"24nov05",2.734
"25nov05",2.712
"26nov05","-"
"27nov05","-"
"28nov05",2.744
"29nov05",2.745
"30nov05",2.765
"01dic05",2.756
"02dic05",2.704
"03dic05","-"
"04dic05","-"
"05dic05",2.713
"06dic05",2.714
"07dic05",2.708
"08dic05",2.709
"09dic05",2.746
"10dic05","-"
"11dic05","-"
"12dic05",2.768
"13dic05",2.769
"14dic05",2.777
"15dic05",2.786
"16dic05",2.794
"17dic05","-"
"18dic05","-"
"19dic05",2.796
"20dic05",2.815
"21dic05",2.833
"22dic05",2.852
"23dic05",2.843
"24dic05","-"
"25dic05","-"
"26dic05","-"
"27dic05",2.845
"28dic05",2.841
"29dic05",2.836
"30dic05",2.844
"31dic05","-"
"01ene06","-"
"02ene06",2.855
"03ene06",2.861
"04ene06",2.829
"05ene06",2.790
"06ene06",2.773
"07ene06","-"
"08ene06","-"
"09ene06",2.771
"10ene06",2.806
"11ene06",2.832
"12ene06",2.847
"13ene06",2.818
"14ene06","-"
"15ene06","-"
"16ene06",2.816
"17ene06",2.805
"18ene06",2.782
"19ene06",2.830
"20ene06",2.839
"21ene06","-"
"22ene06","-"
"23ene06",2.838
"24ene06",2.853
"25ene06",2.864
"26ene06",2.860
"27ene06",2.874
"28ene06","-"
"29ene06","-"
"30ene06",2.890
"31ene06",2.903
"01feb06",2.900
"02feb06",2.916
"03feb06",2.914
"04feb06","-"
"05feb06","-"
"06feb06",2.909
"07feb06",2.908
"08feb06",2.906
"09feb06",2.913
"10feb06",2.901
"11feb06","-"
"12feb06","-"
"13feb06",2.907
"14feb06",2.899
"15feb06",2.897
"16feb06",2.905
"17feb06",2.895
"18feb06","-"
"19feb06","-"
"20feb06",2.880
"21feb06",2.881
"22feb06",2.912
"23feb06",2.938
"24feb06",2.956
"25feb06","-"
"26feb06","-"
"27feb06",2.965
"28feb06",2.981
"01mar06",2.991
"02mar06",2.995
"03mar06",3.045
"04mar06","-"
"05mar06","-"
"06mar06",3.048
"07mar06",3.061
"08mar06",3.056
"09mar06",3.065
"10mar06",3.070
"11mar06","-"
"12mar06","-"
"13mar06",3.085
"14mar06",3.092
"15mar06",3.087
"16mar06",3.093
"17mar06",3.095
"18mar06","-"
"19mar06","-"
"20mar06",3.134
"21mar06",3.138
"22mar06",3.137
"23mar06",3.129
"24mar06",3.135
"25mar06","-"
"26mar06","-"
"27mar06",3.119
"28mar06",3.171
"29mar06",3.215
"30mar06",3.229
"31mar06",3.233
"01abr06","-"
"02abr06","-"
"03abr06",3.254
"04abr06",3.264
"05abr06",3.260
"06abr06",3.260
"07abr06",3.159
"08abr06","-"
"09abr06","-"
"10abr06",3.171
"11abr06",3.171
"12abr06",3.173
"13abr06",3.185
"14abr06","-"
"15abr06","-"
"16abr06","-"
"17abr06","-"
"18abr06",3.194
"19abr06",3.185
"20abr06",3.200
"21abr06",3.198
"22abr06","-"
"23abr06","-"
"24abr06",3.190
"25abr06",3.221
"26abr06",3.277
"27abr06",3.306
"28abr06",3.318
"29abr06","-"
"30abr06","-"
"01may06","-"
"02may06",3.314
"03may06",3.317
"04may06",3.301
"05may06",3.321
"06may06","-"
"07may06","-"
"08may06",3.313
"09may06",3.332
"10may06",3.352
"11may06",3.344
"12may06",3.364
"13may06","-"
"14may06","-"
"15may06",3.319
"16may06",3.301
"17may06",3.293
"18may06",3.300
"19may06",3.304
"20may06","-"
"21may06","-"
"22may06",3.284
"23may06",3.285
"24may06",3.288
"25may06",3.272
"26may06",3.278
"27may06","-"
"28may06","-"
"29may06",3.286
"30may06",3.291
"31may06",3.313
"01jun06",3.369
"02jun06",3.368
"03jun06","-"
"04jun06","-"
"05jun06",3.357
"06jun06",3.396
"07jun06",3.397
"08jun06",3.386
"09jun06",3.336
"10jun06","-"
"11jun06","-"
"12jun06",3.326
"13jun06",3.294
"14jun06",3.324
"15jun06",3.349
"16jun06",3.354
"17jun06","-"
"18jun06","-"
"19jun06",3.370
"20jun06",3.377
"21jun06",3.416
"22jun06",3.427
"23jun06",3.437
"24jun06","-"
"25jun06","-"
"26jun06",3.458
"27jun06",3.520
"28jun06",3.521
"29jun06",3.518
"30jun06",3.512
"01jul06","-"
"02jul06","-"
"03jul06",3.507
"04jul06",3.506
"05jul06",3.532
"06jul06",3.542
"07jul06",3.559
"08jul06","-"
"09jul06","-"
"10jul06",3.561
"11jul06",3.552
"12jul06",3.564
"13jul06",3.551
"14jul06",3.525
"15jul06","-"
"16jul06","-"
"17jul06",3.511
"18jul06",3.526
"19jul06",3.555
"20jul06",3.551
"21jul06",3.531
"22jul06","-"
"23jul06","-"
"24jul06",3.537
"25jul06",3.525
"26jul06",3.544
"27jul06",3.535
"28jul06",3.551
"29jul06","-"
"30jul06","-"
"31jul06",3.546
"01ago06",3.542
"02ago06",3.534
"03ago06",3.546
"04ago06",3.603
"05ago06","-"
"06ago06","-"
"07ago06",3.589
"08ago06",3.589
"09ago06",3.599
"10ago06",3.588
"11ago06",3.619
"12ago06","-"
"13ago06","-"
"14ago06",3.651
"15ago06",3.657
"16ago06",3.657
"17ago06",3.659
"18ago06",3.675
"19ago06","-"
"20ago06","-"
"21ago06",3.657
"22ago06",3.657
"23ago06",3.608
"24ago06",3.633
"25ago06",3.611
"26ago06","-"
"27ago06","-"
"28ago06",3.605
"29ago06",3.624
"30ago06",3.620
"31ago06",3.625
"01sep06",3.636
"02sep06","-"
"03sep06","-"
"04sep06",3.649
"05sep06",3.661
"06sep06",3.685
"07sep06",3.704
"08sep06",3.703
"09sep06","-"
"10sep06","-"
"11sep06",3.730
"12sep06",3.755
"13sep06",3.746
"14sep06",3.751
"15sep06",3.758
"16sep06","-"
"17sep06","-"
"18sep06",3.756
"19sep06",3.765
"20sep06",3.751
"21sep06",3.763
"22sep06",3.725
"23sep06","-"
"24sep06","-"
"25sep06",3.671
"26sep06",3.676
"27sep06",3.706
"28sep06",3.715
"29sep06",3.716
"30sep06","-"
"01oct06","-"
"02oct06",3.748
"03oct06",3.735
"04oct06",3.757
"05oct06",3.745
"06oct06",3.725
"07oct06","-"
"08oct06","-"
"09oct06",3.762
"10oct06",3.772
"11oct06",3.793
"12oct06",3.812
"13oct06",3.794
"14oct06","-"
"15oct06","-"
"16oct06",3.801
"17oct06",3.796
"18oct06",3.801
"19oct06",3.787
"20oct06",3.795
"21oct06","-"
"22oct06","-"
"23oct06",3.825
"24oct06",3.835
"25oct06",3.855
"26oct06",3.861
"27oct06",3.866
"28oct06","-"
"29oct06","-"
"30oct06",3.856
"31oct06",3.861
"01nov06",3.832
"02nov06",3.828
"03nov06",3.840
"04nov06","-"
"05nov06","-"
"06nov06",3.879
"07nov06",3.881
"08nov06",3.878
"09nov06",3.909
"10nov06",3.877
"11nov06","-"
"12nov06","-"
"13nov06",3.857
"14nov06",3.885
"15nov06",3.875
"16nov06",3.884
"17nov06",3.894
"18nov06","-"
"19nov06","-"
"20nov06",3.851
"21nov06",3.841
"22nov06",3.854
"23nov06",3.870
"24nov06",3.859
"25nov06","-"
"26nov06","-"
"27nov06",3.859
"28nov06",3.845
"29nov06",3.844
"30nov06",3.859
"01dic06",3.851
"02dic06","-"
"03dic06","-"
"04dic06",3.804
"05dic06",3.816
"06dic06",3.832
"07dic06",3.841
"08dic06",3.884
"09dic06","-"
"10dic06","-"
"11dic06",3.897
"12dic06",3.900
"13dic06",3.901
"14dic06",3.924
"15dic06",3.939
"16dic06","-"
"17dic06","-"
"18dic06",3.942
"19dic06",3.962
"20dic06",3.971
"21dic06",3.989
"22dic06",3.991
"23dic06","-"
"24dic06","-"
"25dic06","-"
"26dic06","-"
"27dic06",4.003
"28dic06",4.022
"29dic06",4.028
"30dic06","-"
"31dic06","-"
"01ene07","-"
"02ene07",4.030
"03ene07",4.029
"04ene07",4.030
"05ene07",4.024
"06ene07","-"
"07ene07","-"
"08ene07",4.047
"09ene07",4.051
"10ene07",4.063
"11ene07",4.078
"12ene07",4.052
"13ene07","-"
"14ene07","-"
"15ene07",4.062
"16ene07",4.062
"17ene07",4.058
"18ene07",4.075
"19ene07",4.072
"20ene07","-"
"21ene07","-"
"22ene07",4.080
"23ene07",4.074
"24ene07",4.076
"25ene07",4.079
"26ene07",4.090
"27ene07","-"
"28ene07","-"
"29ene07",4.092
"30ene07",4.096
"31ene07",4.097
"01feb07",4.080
"02feb07",4.089
"03feb07","-"
"04feb07","-"
"05feb07",4.054
"06feb07",4.056
"07feb07",4.065
"08feb07",4.078
"09feb07",4.100
"10feb07","-"
"11feb07","-"
"12feb07",4.093
"13feb07",4.099
"14feb07",4.107
"15feb07",4.101
"16feb07",4.089
"17feb07","-"
"18feb07","-"
"19feb07",4.115
"20feb07",4.122
"21feb07",4.112
"22feb07",4.116
"23feb07",4.123
"24feb07","-"
"25feb07","-"
"26feb07",4.111
"27feb07",4.103
"28feb07",4.058
"01mar07",4.077
"02mar07",4.050
"03mar07","-"
"04mar07","-"
"05mar07",3.995
"06mar07",4.041
"07mar07",4.052
"08mar07",4.065
"09mar07",4.090
"10mar07","-"
"11mar07","-"
"12mar07",4.117
"13mar07",4.105
"14mar07",4.086
"15mar07",4.113
"16mar07",4.105
"17mar07","-"
"18mar07","-"
"19mar07",4.126
"20mar07",4.133
"21mar07",4.126
"22mar07",4.122
"23mar07",4.124
"24mar07","-"
"25mar07","-"
"26mar07",4.139
"27mar07",4.154
"28mar07",4.157
"29mar07",4.168
"30mar07",4.177
"31mar07","-"
"01abr07","-"
"02abr07",4.193
"03abr07",4.205
"04abr07",4.203
"05abr07",4.211
"06abr07","-"
"07abr07","-"
"08abr07","-"
"09abr07","-"
"10abr07",4.232
"11abr07",4.237
"12abr07",4.252
"13abr07",4.259
"14abr07","-"
"15abr07","-"
"16abr07",4.271
"17abr07",4.267
"18abr07",4.257
"19abr07",4.257
"20abr07",4.276
"21abr07","-"
"22abr07","-"
"23abr07",4.267
"24abr07",4.266
"25abr07",4.274
"26abr07",4.283
"27abr07",4.293
"28abr07","-"
"29abr07","-"
"30abr07",4.298
"01may07","-"
"02may07",4.306
"03may07",4.317
"04may07",4.320
"05may07","-"
"06may07","-"
"07may07",4.326
"08may07",4.323
"09may07",4.323
"10may07",4.328
"11may07",4.305
"12may07","-"
"13may07","-"
"14may07",4.331
"15may07",4.345
"16may07",4.368
"17may07",4.392
"18may07",4.400
"19may07","-"
"20may07","-"
"21may07",4.401
"22may07",4.401
"23may07",4.422
"24may07",4.413
"25may07",4.416
"26may07","-"
"27may07","-"
"28may07",4.434
"29may07",4.444
"30may07",4.439
"31may07",4.455
"01jun07",4.466
"02jun07","-"
"03jun07","-"
"04jun07",4.485
"05jun07",4.486
"06jun07",4.493
"07jun07",4.490
"08jun07",4.496
"09jun07","-"
"10jun07","-"
"11jun07",4.494
"12jun07",4.499
"13jun07",4.523
"14jun07",4.510
"15jun07",4.519
"16jun07","-"
"17jun07","-"
"18jun07",4.517
"19jun07",4.519
"20jun07",4.497
"21jun07",4.534
"22jun07",4.518
"23jun07","-"
"24jun07","-"
"25jun07",4.504
"26jun07",4.507
"27jun07",4.505
"28jun07",4.525
"29jun07",4.528
"30jun07","-"
"01jul07","-"
"02jul07",4.524
"03jul07",4.526
"04jul07",4.541
"05jul07",4.563
"06jul07",4.580
"07jul07","-"
"08jul07","-"
"09jul07",4.582
"10jul07",4.577
"11jul07",4.554
"12jul07",4.582
"13jul07",4.594
"14jul07","-"
"15jul07","-"
"16jul07",4.588
"17jul07",4.577
"18jul07",4.583
"19jul07",4.591
"20jul07",4.587
"21jul07","-"
"22jul07","-"
"23jul07",4.557
"24jul07",4.574
"25jul07",4.564
"26jul07",4.573
"27jul07",4.526
"28jul07","-"
"29jul07","-"
"30jul07",4.524
"31jul07",4.537
"01ago07",4.522
"02ago07",4.565
"03ago07",4.590
"04ago07","-"
"05ago07","-"
"06ago07",4.551
"07ago07",4.583
"08ago07",4.602
"09ago07",4.635
"10ago07",4.633
"11ago07","-"
"12ago07","-"
"13ago07",4.645
"14ago07",4.647
"15ago07",4.632
"16ago07",4.645
"17ago07",4.656
"18ago07","-"
"19ago07","-"
"20ago07",4.670
"21ago07",4.676
"22ago07",4.714
"23ago07",4.791
"24ago07",4.780
"25ago07","-"
"26ago07","-"
"27ago07",4.764
"28ago07",4.745
"29ago07",4.742
"30ago07",4.757
"31ago07",4.781
"01sep07","-"
"02sep07","-"
"03sep07",4.783
"04sep07",4.792
"05sep07",4.807
"06sep07",4.781
"07sep07",4.763
"08sep07","-"
"09sep07","-"
"10sep07",4.713
"11sep07",4.710
"12sep07",4.715
"13sep07",4.699
"14sep07",4.696
"15sep07","-"
"16sep07","-"
"17sep07",4.685
"18sep07",4.696
"19sep07",4.689
"20sep07",4.682
"21sep07",4.694
"22sep07","-"
"23sep07","-"
"24sep07",4.701
"25sep07",4.705
"26sep07",4.713
"27sep07",4.740
"28sep07",4.726
"29sep07","-"
"30sep07","-"
"01oct07",4.716
"02oct07",4.720
"03oct07",4.708
"04oct07",4.704
"05oct07",4.683
"06oct07","-"
"07oct07","-"
"08oct07",4.699
"09oct07",4.692
"10oct07",4.689
"11oct07",4.687
"12oct07",4.647
"13oct07","-"
"14oct07","-"
"15oct07",4.674
"16oct07",4.657
"17oct07",4.661
"18oct07",4.652
"19oct07",4.628
"20oct07","-"
"21oct07","-"
"22oct07",4.595
"23oct07",4.592
"24oct07",4.574
"25oct07",4.564
"26oct07",4.562
"27oct07","-"
"28oct07","-"
"29oct07",4.575
"30oct07",4.595
"31oct07",4.599
"01nov07",4.630
"02nov07",4.608
"03nov07","-"
"04nov07","-"
"05nov07",4.601
"06nov07",4.606
"07nov07",4.599
"08nov07",4.581
"09nov07",4.570
"10nov07","-"
"11nov07","-"
"12nov07",4.556
"13nov07",4.559
"14nov07",4.574
"15nov07",4.577
"16nov07",4.576
"17nov07","-"
"18nov07","-"
"19nov07",4.597
"20nov07",4.595
"21nov07",4.606
"22nov07",4.620
"23nov07",4.618
"24nov07","-"
"25nov07","-"
"26nov07",4.629
"27nov07",4.626
"28nov07",4.653
"29nov07",4.686
"30nov07",4.692
"01dic07","-"
"02dic07","-"
"03dic07",4.711
"04dic07",4.724
"05dic07",4.723
"06dic07",4.718
"07dic07",4.769
"08dic07","-"
"09dic07","-"
"10dic07",4.815
"11dic07",4.847
"12dic07",4.867
"13dic07",4.862
"14dic07",4.880
"15dic07","-"
"16dic07","-"
"17dic07",4.885
"18dic07",4.827
"19dic07",4.813
"20dic07",4.791
"21dic07",4.777
"22dic07","-"
"23dic07","-"
"24dic07",4.772
"25dic07","-"
"26dic07","-"
"27dic07",4.786
"28dic07",4.754
"29dic07","-"
"30dic07","-"
"31dic07",4.745
"01ene08","-"
"02ene08",4.733
"03ene08",4.697
"04ene08",4.672
"05ene08","-"
"06ene08","-"
"07ene08",4.656
"08ene08",4.657
"09ene08",4.651
"10ene08",4.646
"11ene08",4.649
"12ene08","-"
"13ene08","-"
"14ene08",4.595
"15ene08",4.581
"16ene08",4.515
"17ene08",4.451
"18ene08",4.421
"19ene08","-"
"20ene08","-"
"21ene08",4.381
"22ene08",4.305
"23ene08",4.287
"24ene08",4.303
"25ene08",4.387
"26ene08","-"
"27ene08","-"
"28ene08",4.339
"29ene08",4.360
"30ene08",4.355
"31ene08",4.316
"01feb08",4.330
"02feb08","-"
"03feb08","-"
"04feb08",4.344
"05feb08",4.344
"06feb08",4.324
"07feb08",4.332
"08feb08",4.290
"09feb08","-"
"10feb08","-"
"11feb08",4.299
"12feb08",4.299
"13feb08",4.327
"14feb08",4.327
"15feb08",4.347
"16feb08","-"
"17feb08","-"
"18feb08",4.355
"19feb08",4.353
"20feb08",4.372
"21feb08",4.378
"22feb08",4.367
"23feb08","-"
"24feb08","-"
"25feb08",4.382
"26feb08",4.394
"27feb08",4.390
"28feb08",4.390
"29feb08",4.382
"01mar08","-"
"02mar08","-"
"03mar08",4.379
"04mar08",4.394
"05mar08",4.404
"06mar08",4.435
"07mar08",4.491
"08mar08","-"
"09mar08","-"
"10mar08",4.545
"11mar08",4.555
"12mar08",4.588
"13mar08",4.583
"14mar08",4.607
"15mar08","-"
"16mar08","-"
"17mar08",4.631
"18mar08",4.647
"19mar08",4.654
"20mar08",4.675
"21mar08","-"
"22mar08","-"
"23mar08","-"
"24mar08","-"
"25mar08",4.712
"26mar08",4.719
"27mar08",4.731
"28mar08",4.736
"29mar08","-"
"30mar08","-"
"31mar08",4.725
"01abr08",4.735
"02abr08",4.743
"03abr08",4.751
"04abr08",4.751
"05abr08","-"
"06abr08","-"
"07abr08",4.750
"08abr08",4.750
"09abr08",4.749
"10abr08",4.748
"11abr08",4.756
"12abr08","-"
"13abr08","-"
"14abr08",4.762
"15abr08",4.772
"16abr08",4.780
"17abr08",4.796
"18abr08",4.802
"19abr08","-"
"20abr08","-"
"21abr08",4.825
"22abr08",4.853
"23abr08",4.933
"24abr08",4.935
"25abr08",4.964
"26abr08","-"
"27abr08","-"
"28abr08",4.963
"29abr08",4.965
"30abr08",4.955
"01may08","-"
"02may08",4.952
"03may08","-"
"04may08","-"
"05may08",4.958
"06may08",4.956
"07may08",4.960
"08may08",4.953
"09may08",4.941
"10may08","-"
"11may08","-"
"12may08",4.948
"13may08",4.950
"14may08",4.971
"15may08",4.989
"16may08",4.988
"17may08","-"
"18may08","-"
"19may08",4.982
"20may08",4.987
"21may08",4.999
"22may08",5.000
"23may08",5.028
"24may08","-"
"25may08","-"
"26may08",5.045
"27may08",5.050
"28may08",5.053
"29may08",5.063
"30may08",5.097
"31may08","-"
"01jun08","-"
"02jun08",5.097
"03jun08",5.093
"04jun08",5.107
"05jun08",5.125
"06jun08",5.418
"07jun08","-"
"08jun08","-"
"09jun08",5.429
"10jun08",5.432
"11jun08",5.417
"12jun08",5.425
"13jun08",5.439
"14jun08","-"
"15jun08","-"
"16jun08",5.436
"17jun08",5.434
"18jun08",5.427
"19jun08",5.430
"20jun08",5.429
"21jun08","-"
"22jun08","-"
"23jun08",5.419
"24jun08",5.422
"25jun08",5.418
"26jun08",5.408
"27jun08",5.382
"28jun08","-"
"29jun08","-"
"30jun08",5.390
"01jul08",5.418
"02jul08",5.417
"03jul08",5.432
"04jul08",5.395
"05jul08","-"
"06jul08","-"
"07jul08",5.393
"08jul08",5.379
"09jul08",5.396
"10jul08",5.384
"11jul08",5.388
"12jul08","-"
"13jul08","-"
"14jul08",5.384
"15jul08",5.374
"16jul08",5.369
"17jul08",5.377
"18jul08",5.375
"19jul08","-"
"20jul08","-"
"21jul08",5.413
"22jul08",5.418
"23jul08",5.432
"24jul08",5.409
"25jul08",5.387
"26jul08","-"
"27jul08","-"
"28jul08",5.389
"29jul08",5.380
"30jul08",5.369
"31jul08",5.366
"01ago08",5.357
"02ago08","-"
"03ago08","-"
"04ago08",5.359
"05ago08",5.355
"06ago08",5.354
"07ago08",5.350
"08ago08",5.313
"09ago08","-"
"10ago08","-"
"11ago08",5.313
"12ago08",5.314
"13ago08",5.311
"14ago08",5.307
"15ago08",5.308
"16ago08","-"
"17ago08","-"
"18ago08",5.304
"19ago08",5.301
"20ago08",5.314
"21ago08",5.306
"22ago08",5.321
"23ago08","-"
"24ago08","-"
"25ago08",5.319
"26ago08",5.308
"27ago08",5.306
"28ago08",5.329
"29ago08",5.335
"30ago08","-"
"31ago08","-"
"01sep08",5.325
"02sep08",5.330
"03sep08",5.323
"04sep08",5.334
"05sep08",5.322
"06sep08","-"
"07sep08","-"
"08sep08",5.337
"09sep08",5.337
"10sep08",5.336
"11sep08",5.337
"12sep08",5.341
"13sep08","-"
"14sep08","-"
"15sep08",5.341
"16sep08",5.340
"17sep08",5.363
"18sep08",5.386
"19sep08",5.410
"20sep08","-"
"21sep08","-"
"22sep08",5.440
"23sep08",5.450
"24sep08",5.467
"25sep08",5.484
"26sep08",5.471
"27sep08","-"
"28sep08","-"
"29sep08",5.477
"30sep08",5.495
"01oct08",5.505
"02oct08",5.526
"03oct08",5.493
"04oct08","-"
"05oct08","-"
"06oct08",5.482
"07oct08",5.493
"08oct08",5.486
"09oct08",5.512
"10oct08",5.489
"11oct08","-"
"12oct08","-"
"13oct08",5.425
"14oct08",5.358
"15oct08",5.312
"16oct08",5.248
"17oct08",5.202
"18oct08","-"
"19oct08","-"
"20oct08",5.146
"21oct08",5.112
"22oct08",5.079
"23oct08",5.060
"24oct08",5.035
"25oct08","-"
"26oct08","-"
"27oct08",5.020
"28oct08",4.986
"29oct08",4.950
"30oct08",4.916
"31oct08",4.865
"01nov08","-"
"02nov08","-"
"03nov08",4.845
"04nov08",4.808
"05nov08",4.764
"06nov08",4.701
"07nov08",4.596
"08nov08","-"
"09nov08","-"
"10nov08",4.532
"11nov08",4.458
"12nov08",4.412
"13nov08",4.370
"14nov08",4.355
"15nov08","-"
"16nov08","-"
"17nov08",4.322
"18nov08",4.271
"19nov08",4.219
"20nov08",4.171
"21nov08",4.123
"22nov08","-"
"23nov08","-"
"24nov08",4.077
"25nov08",4.051
"26nov08",4.004
"27nov08",3.978
"28nov08",3.951
"29nov08","-"
"30nov08","-"
"01dic08",3.921
"02dic08",3.896
"03dic08",3.853
"04dic08",3.777
"05dic08",3.700
"06dic08","-"
"07dic08","-"
"08dic08",3.661
"09dic08",3.610
"10dic08",3.563
"11dic08",3.513
"12dic08",3.470
"13dic08","-"
"14dic08","-"
"15dic08",3.431
"16dic08",3.395
"17dic08",3.333
"18dic08",3.290
"19dic08",3.257
"20dic08","-"
"21dic08","-"
"22dic08",3.227
"23dic08",3.185
"24dic08",3.150
"25dic08","-"
"26dic08","-"
"27dic08","-"
"28dic08","-"
"29dic08",3.126
"30dic08",3.085
"31dic08",3.049
"01ene09","-"
"02ene09",3.025
"03ene09","-"
"04ene09","-"
"05ene09",2.995
"06ene09",2.959
"07ene09",2.924
"08ene09",2.882
"09ene09",2.834
"10ene09","-"
"11ene09","-"
"12ene09",2.782
"13ene09",2.738
"14ene09",2.700
"15ene09",2.651
"16ene09",2.615
"17ene09","-"
"18ene09","-"
"19ene09",2.572
"20ene09",2.531
"21ene09",2.474
"22ene09",2.426
"23ene09",2.379
"24ene09","-"
"25ene09","-"
"26ene09",2.347
"27ene09",2.335
"28ene09",2.318
"29ene09",2.294
"30ene09",2.273
"31ene09","-"
"01feb09","-"
"02feb09",2.259
"03feb09",2.246
"04feb09",2.236
"05feb09",2.223
"06feb09",2.209
"07feb09","-"
"08feb09","-"
"09feb09",2.192
"10feb09",2.177
"11feb09",2.165
"12feb09",2.146
"13feb09",2.133
"14feb09","-"
"15feb09","-"
"16feb09",2.118
"17feb09",2.096
"18feb09",2.083
"19feb09",2.085
"20feb09",2.074
"21feb09","-"
"22feb09","-"
"23feb09",2.074
"24feb09",2.062
"25feb09",2.054
"26feb09",2.043
"27feb09",2.033
"28feb09","-"
"01mar09","-"
"02mar09",2.025
"03mar09",2.006
"04mar09",1.993
"05mar09",1.981
"06mar09",1.957
"07mar09","-"
"08mar09","-"
"09mar09",1.947
"10mar09",1.939
"11mar09",1.932
"12mar09",1.931
"13mar09",1.923
"14mar09","-"
"15mar09","-"
"16mar09",1.919
"17mar09",1.909
"18mar09",1.901
"19mar09",1.877
"20mar09",1.866
"21mar09","-"
"22mar09","-"
"23mar09",1.857
"24mar09",1.857
"25mar09",1.853
"26mar09",1.849
"27mar09",1.838
"28mar09","-"
"29mar09","-"
"30mar09",1.824
"31mar09",1.812
"01abr09",1.801
"02abr09",1.791
"03abr09",1.804
"04abr09","-"
"05abr09","-"
"06abr09",1.802
"07abr09",1.796
"08abr09",1.785
"09abr09",1.782
"10abr09","-"
"11abr09","-"
"12abr09","-"
"13abr09","-"
"14abr09",1.774
"15abr09",1.768
"16abr09",1.762
"17abr09",1.761
"18abr09","-"
"19abr09","-"
"20abr09",1.768
"21abr09",1.768
"22abr09",1.766
"23abr09",1.769
"24abr09",1.764
"25abr09","-"
"26abr09","-"
"27abr09",1.754
"28abr09",1.743
"29abr09",1.734
"30abr09",1.728
"01may09","-"
"02may09","-"
"03may09","-"
"04may09",1.718
"05may09",1.710
"06may09",1.704
"07may09",1.699
"08may09",1.676
"09may09","-"
"10may09","-"
"11may09",1.655
"12may09",1.647
"13may09",1.636
"14may09",1.623
"15may09",1.610
"16may09","-"
"17may09","-"
"18may09",1.602
"19may09",1.595
"20may09",1.606
"21may09",1.613
"22may09",1.622
"23may09","-"
"24may09","-"
"25may09",1.631
"26may09",1.632
"27may09",1.638
"28may09",1.641
"29may09",1.631
"30may09","-"
"31may09","-"
"01jun09",1.626
"02jun09",1.624
"03jun09",1.615
"04jun09",1.621
"05jun09",1.643
"06jun09","-"
"07jun09","-"
"08jun09",1.672
"09jun09",1.675
"10jun09",1.672
"11jun09",1.666
"12jun09",1.659
"13jun09","-"
"14jun09","-"
"15jun09",1.649
"16jun09",1.638
"17jun09",1.629
"18jun09",1.619
"19jun09",1.609
"20jun09","-"
"21jun09","-"
"22jun09",1.597
"23jun09",1.585
"24jun09",1.570
"25jun09",1.532
"26jun09",1.515
"27jun09","-"
"28jun09","-"
"29jun09",1.510
"30jun09",1.504
"01jul09",1.497
"02jul09",1.486
"03jul09",1.468
"04jul09","-"
"05jul09","-"
"06jul09",1.456
"07jul09",1.452
"08jul09",1.440
"09jul09",1.436
"10jul09",1.433
"11jul09","-"
"12jul09","-"
"13jul09",1.426
"14jul09",1.419
"15jul09",1.413
"16jul09",1.409
"17jul09",1.395
"18jul09","-"
"19jul09","-"
"20jul09",1.389
"21jul09",1.382
"22jul09",1.381
"23jul09",1.379
"24jul09",1.378
"25jul09","-"
"26jul09","-"
"27jul09",1.377
"28jul09",1.373
"29jul09",1.367
"30jul09",1.364
"31jul09",1.355
"01ago09","-"
"02ago09","-"
"03ago09",1.346
"04ago09",1.344
"05ago09",1.345
"06ago09",1.346
"07ago09",1.348
"08ago09","-"
"09ago09","-"
"10ago09",1.354
"11ago09",1.353
"12ago09",1.350
"13ago09",1.344
"14ago09",1.342
"15ago09","-"
"16ago09","-"
"17ago09",1.335
"18ago09",1.334
"19ago09",1.330
"20ago09",1.328
"21ago09",1.324
"22ago09","-"
"23ago09","-"
"24ago09",1.326
"25ago09",1.322
"26ago09",1.319
"27ago09",1.315
"28ago09",1.311
"29ago09","-"
"30ago09","-"
"31ago09",1.304
"01sep09",1.302
"02sep09",1.300
"03sep09",1.298
"04sep09",1.290
"05sep09","-"
"06sep09","-"
"07sep09",1.283
"08sep09",1.274
"09sep09",1.267
"10sep09",1.261
"11sep09",1.258
"12sep09","-"
"13sep09","-"
"14sep09",1.255
"15sep09",1.256
"16sep09",1.252
"17sep09",1.256
"18sep09",1.254
"19sep09","-"
"20sep09","-"
"21sep09",1.252
"22sep09",1.251
"23sep09",1.247
