"DOCUMENTACIÓN","Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses"
"UNIDADES","Porcentaje"
"FRECUENCIA","Diaria"
"CÓDIGO DE IDENTIFICACIÓN","D_DNBAF172"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"11nov02",3.007
"12nov02",2.992
"13nov02",2.981
"14nov02",2.965
"15nov02",3.007
"16nov02","-"
"17nov02","-"
"18nov02",2.985
"19nov02",2.977
"20nov02",2.971
"21nov02",2.969
"22nov02",2.973
"23nov02","-"
"24nov02","-"
"25nov02",3.017
"26nov02",3.007
"27nov02",2.986
"28nov02",3.031
"29nov02",3.017
"30nov02","-"
"01dic02","-"
"02dic02",3.010
"03dic02",2.993
"04dic02",2.976
"05dic02",2.967
"06dic02",2.967
"07dic02","-"
"08dic02","-"
"09dic02",2.918
"10dic02",2.887
"11dic02",2.895
"12dic02",2.879
"13dic02",2.849
"14dic02","-"
"15dic02","-"
"16dic02",2.854
"17dic02",2.858
"18dic02",2.835
"19dic02",2.829
"20dic02",2.822
"21dic02","-"
"22dic02","-"
"23dic02",2.820
"24dic02",2.819
"25dic02","-"
"26dic02","-"
"27dic02",2.779
"28dic02","-"
"29dic02","-"
"30dic02",2.746
"31dic02",2.749
"01ene03","-"
"02ene03",2.734
"03ene03",2.797
"04ene03","-"
"05ene03","-"
"06ene03",2.777
"07ene03",2.752
"08ene03",2.731
"09ene03",2.699
"10ene03",2.730
"11ene03","-"
"12ene03","-"
"13ene03",2.722
"14ene03",2.722
"15ene03",2.723
"16ene03",2.722
"17ene03",2.719
"18ene03","-"
"19ene03","-"
"20ene03",2.705
"21ene03",2.702
"22ene03",2.685
"23ene03",2.683
"24ene03",2.660
"25ene03","-"
"26ene03","-"
"27ene03",2.645
"28ene03",2.666
"29ene03",2.638
"30ene03",2.652
"31ene03",2.636
"01feb03","-"
"02feb03","-"
"03feb03",2.658
"04feb03",2.644
"05feb03",2.609
"06feb03",2.624
"07feb03",2.558
"08feb03","-"
"09feb03","-"
"10feb03",2.533
"11feb03",2.546
"12feb03",2.513
"13feb03",2.485
"14feb03",2.489
"15feb03","-"
"16feb03","-"
"17feb03",2.518
"18feb03",2.499
"19feb03",2.499
"20feb03",2.474
"21feb03",2.474
"22feb03","-"
"23feb03","-"
"24feb03",2.399
"25feb03",2.380
"26feb03",2.383
"27feb03",2.374
"28feb03",2.412
"01mar03","-"
"02mar03","-"
"03mar03",2.360
"04mar03",2.343
"05mar03",2.344
"06mar03",2.353
"07mar03",2.354
"08mar03","-"
"09mar03","-"
"10mar03",2.336
"11mar03",2.335
"12mar03",2.347
"13mar03",2.381
"14mar03",2.471
"15mar03","-"
"16mar03","-"
"17mar03",2.429
"18mar03",2.499
"19mar03",2.464
"20mar03",2.474
"21mar03",2.461
"22mar03","-"
"23mar03","-"
"24mar03",2.473
"25mar03",2.455
"26mar03",2.468
"27mar03",2.447
"28mar03",2.447
"29mar03","-"
"30mar03","-"
"31mar03",2.394
"01abr03",2.373
"02abr03",2.395
"03abr03",2.391
"04abr03",2.409
"05abr03","-"
"06abr03","-"
"07abr03",2.455
"08abr03",2.443
"09abr03",2.419
"10abr03",2.403
"11abr03",2.433
"12abr03","-"
"13abr03","-"
"14abr03",2.508
"15abr03",2.542
"16abr03",2.539
"17abr03",2.505
