fecha,morosidad,paro,paro_lag_12,euribor,inflacion_interanual,pred_morosidad_m1,pred_morosidad_m2
2003-01-01,1.09,11.99,11.55,2.7045454545454546,3.7110206584123775,2.56388110316116,2.402213548205359
2003-02-01,1.08,11.99,11.55,2.50355,3.84222706234687,2.56388110316116,2.340658609766851
2003-03-01,1.07,11.99,11.55,2.411190476190476,3.706141461191837,2.56388110316116,2.362014995576935
2003-04-01,1.04,11.28,11.15,2.44695,3.148622997768813,2.2969787355473033,2.2452866498423583
2003-05-01,1.03,11.28,11.15,2.252095238095238,2.684407870723704,2.2969787355473033,2.3351142549748176
2003-06-01,1.02,11.28,11.15,2.0136666666666665,2.7473165552366563,2.2969787355473033,2.285537281121433
2003-07-01,1.0,11.3,11.49,2.0760869565217392,2.818336730261617,2.523845748019081,2.4997059432627102
2003-08-01,1.0,11.3,11.49,2.278619047619048,2.9935032483758173,2.523845748019081,2.4840305895819763
2003-09-01,1.0,11.3,11.49,2.2576363636363634,2.9142809725333896,2.523845748019081,2.5010935229474516
2003-10-01,0.98,11.37,11.61,2.3025217391304347,2.5932195033770977,2.603916458303238,2.6674071079283403
2003-11-01,0.95,11.37,11.61,2.41035,2.768024152528481,2.603916458303238,2.6384477466054395
2003-12-01,0.96,11.37,11.61,2.380761904761905,2.603519330149795,2.603916458303238,2.675853678047143
2004-01-01,0.96,11.5,11.99,2.216285714285714,2.305570152390945,2.8574737075364025,2.977518840156476
2004-02-01,0.94,11.5,11.99,2.16305,2.135155507488617,2.8574737075364025,3.0130788337480667
2004-03-01,0.92,11.5,11.99,2.055043478260869,2.139986004654282,2.8574737075364025,2.996603455622568
2004-04-01,0.89,11.09,11.28,2.16265,2.70222279617105,2.3837220050218058,2.4033596910335433
2004-05-01,0.87,11.09,11.28,2.297428571428572,3.404317197699225,2.3837220050218058,2.2449142682458367
2004-06-01,0.84,11.09,11.28,2.4044090909090907,3.498942405502703,2.3837220050218058,2.2361035561062064
2004-07-01,0.82,10.74,11.3,2.3610454545454544,3.361767812169947,2.3970671234024996,2.277790787377512
2004-08-01,0.83,10.74,11.3,2.302,3.344816989341237,2.3970671234024996,2.2737364701575826
2004-09-01,0.82,10.74,11.3,2.3770454545454545,3.2220089984035027,2.3970671234024996,2.315379860168714
2004-10-01,0.81,10.53,11.37,2.316095238095238,3.5848724150635114,2.443775037734923,2.2610188579578376
2004-11-01,0.8,10.53,11.37,2.3283181818181817,3.5045423339134407,2.443775037734923,2.2830516236219784
2004-12-01,0.79,10.53,11.37,2.301043478260869,3.227605992986926,2.443775037734923,2.3492055962126224
2005-01-01,0.81,10.17,11.5,2.312095238095238,3.080256821829841,2.5305183072094275,2.473396172104236
2005-02-01,0.8,10.17,11.5,2.31,3.3002294277142186,2.5305183072094275,2.4174938733442746
2005-03-01,0.79,10.17,11.5,2.334761904761905,3.395258428398429,2.5305183072094275,2.396968951493964
2005-04-01,0.78,9.32,11.09,2.2650952380952383,3.4688713201200816,2.2569433804052244,2.0992406647202513
2005-05-01,0.79,9.32,11.09,2.1932727272727277,3.0578602790668707,2.2569433804052244,2.192995373830842
2005-06-01,0.85,9.32,11.09,2.102818181818182,3.1357254290171666,2.2569433804052244,2.160536682018345
2005-07-01,0.83,8.41,10.74,2.168,3.2870122928915,2.0234038087431,1.9016255768534909
2005-08-01,0.86,8.41,10.74,2.2228695652173918,3.285077079583676,2.0234038087431,1.9098642712703757
2005-09-01,0.85,8.41,10.74,2.2195,3.733849927353972,2.0234038087431,1.7959440968486173
2005-10-01,0.85,8.71,10.53,2.4135714285714287,3.513383951629101,1.8832800657458248,1.7411606948598446
2005-11-01,0.82,8.71,10.53,2.6843636363636363,3.4121058801752424,1.8832800657458248,1.8050078535072842
2005-12-01,0.8,8.71,10.53,2.7832857142857144,3.735042075194928,1.8832800657458248,1.737344789730094
2006-01-01,0.82,9.03,10.17,2.833454545454545,4.193462993818042,1.643067934893355,1.3921057866445194
2006-02-01,0.81,9.03,10.17,2.91415,3.972913366259756,1.643067934893355,1.4592550412011633
2006-03-01,0.78,9.03,10.17,3.1053478260869567,3.887818784189867,1.643067934893355,1.507769709532309
2006-04-01,0.79,8.44,9.32,3.2214444444444443,3.8569041470454257,1.0759004037139102,0.9737170176074506
