fecha,morosidad,euribor,ipc,inflacion_interanual,paro,paro_lag_6,paro_lag_12,euribor_lag_6,euribor_lag_12
2002-01-01,1.25,3.483181818181818,58.717,,11.55,,,,
2002-02-01,1.25,3.5936500000000002,58.768,,11.55,,,,
2002-03-01,1.23,3.8155500000000004,59.253,,11.55,,,,
2002-04-01,1.24,3.860238095238095,60.058,,11.15,,,,
2002-05-01,1.26,3.962727272727273,60.274,,11.15,,,,
2002-06-01,1.25,3.86875,60.277,,11.15,,,,
2002-07-01,1.24,3.6448260869565217,59.858,,11.49,11.55,,3.483181818181818,
2002-08-01,1.26,3.440409090909091,60.03,,11.49,11.55,,3.5936500000000002,
2002-09-01,1.25,3.2364285714285717,60.255,,11.49,11.55,,3.8155500000000004,
2002-10-01,1.23,3.1259130434782607,60.851,,11.61,11.15,,3.860238095238095,
2002-11-01,1.2,3.0173809523809525,60.946,,11.61,11.15,,3.962727272727273,
2002-12-01,1.09,2.8726,61.148,,11.61,11.15,,3.86875,
2003-01-01,1.09,2.7045454545454546,60.896,3.7110206584123784,11.99,11.49,11.55,3.6448260869565217,3.483181818181818
2003-02-01,1.08,2.5035499999999997,61.026,3.84222706234687,11.99,11.49,11.55,3.440409090909091,3.5936500000000002
2003-03-01,1.07,2.411190476190476,61.449,3.7061414611918364,11.99,11.49,11.55,3.2364285714285717,3.8155500000000004
2003-04-01,1.04,2.44695,61.949,3.148622997768813,11.28,11.61,11.15,3.1259130434782607,3.860238095238095
2003-05-01,1.03,2.252095238095238,61.892,2.684407870723704,11.28,11.61,11.15,3.0173809523809525,3.962727272727273
2003-06-01,1.02,2.0136666666666665,61.933,2.7473165552366563,11.28,11.61,11.15,2.8726,3.86875
2003-07-01,1.0,2.0760869565217392,61.545,2.818336730261617,11.3,11.99,11.49,2.7045454545454546,3.6448260869565217
2003-08-01,1.0,2.2786190476190478,61.827,2.9935032483758173,11.3,11.99,11.49,2.5035499999999997,3.440409090909091
2003-09-01,1.0,2.2576363636363634,62.011,2.9142809725333896,11.3,11.99,11.49,2.411190476190476,3.2364285714285717
2003-10-01,0.98,2.3025217391304347,62.429,2.5932195033770977,11.37,11.28,11.61,2.44695,3.1259130434782607
2003-11-01,0.95,2.41035,62.633,2.768024152528481,11.37,11.28,11.61,2.252095238095238,3.0173809523809525
2003-12-01,0.96,2.380761904761905,62.74,2.603519330149795,11.37,11.28,11.61,2.0136666666666665,2.8726
2004-01-01,0.96,2.216285714285714,62.3,2.3055701523909455,11.5,11.3,11.99,2.0760869565217392,2.7045454545454546
2004-02-01,0.94,2.1630499999999997,62.329,2.1351555074886175,11.5,11.3,11.99,2.2786190476190478,2.5035499999999997
2004-03-01,0.92,2.0550434782608695,62.764,2.139986004654282,11.5,11.3,11.99,2.2576363636363634,2.411190476190476
2004-04-01,0.89,2.16265,63.623,2.70222279617105,11.09,11.37,11.28,2.3025217391304347,2.44695
2004-05-01,0.87,2.2974285714285716,63.999,3.404317197699225,11.09,11.37,11.28,2.41035,2.252095238095238
2004-06-01,0.84,2.4044090909090907,64.1,3.498942405502703,11.09,11.37,11.28,2.380761904761905,2.0136666666666665
2004-07-01,0.82,2.3610454545454544,63.614,3.361767812169947,10.74,11.5,11.3,2.216285714285714,2.0760869565217392
2004-08-01,0.83,2.302,63.895,3.344816989341237,10.74,11.5,11.3,2.1630499999999997,2.2786190476190478
2004-09-01,0.82,2.3770454545454545,64.009,3.2220089984035027,10.74,11.5,11.3,2.0550434782608695,2.2576363636363634
2004-10-01,0.81,2.316095238095238,64.667,3.5848724150635114,10.53,11.09,11.37,2.16265,2.3025217391304347
2004-11-01,0.8,2.3283181818181817,64.828,3.5045423339134407,10.53,11.09,11.37,2.2974285714285716,2.41035
2004-12-01,0.79,2.3010434782608695,64.765,3.227605992986926,10.53,11.09,11.37,2.4044090909090907,2.380761904761905
2005-01-01,0.81,2.312095238095238,64.219,3.080256821829841,10.17,10.74,11.5,2.3610454545454544,2.216285714285714
2005-02-01,0.8,2.31,64.386,3.3002294277142186,10.17,10.74,11.5,2.302,2.1630499999999997
2005-03-01,0.79,2.334761904761905,64.895,3.395258428398429,10.17,10.74,11.5,2.3770454545454545,2.0550434782608695
2005-04-01,0.78,2.2650952380952383,65.83,3.4688713201200816,9.32,10.53,11.09,2.316095238095238,2.16265
2005-05-01,0.79,2.1932727272727273,65.956,3.0578602790668707,9.32,10.53,11.09,2.3283181818181817,2.2974285714285716
2005-06-01,0.85,2.102818181818182,66.11,3.1357254290171666,9.32,10.53,11.09,2.3010434782608695,2.4044090909090907
2005-07-01,0.83,2.168,65.705,3.2870122928915,8.41,10.17,10.74,2.312095238095238,2.3610454545454544
2005-08-01,0.86,2.2228695652173913,65.994,3.285077079583676,8.41,10.17,10.74,2.31,2.302
2005-09-01,0.85,2.2195,66.399,3.7338499273539716,8.41,10.17,10.74,2.334761904761905,2.3770454545454545
2005-10-01,0.85,2.4135714285714287,66.939,3.513383951629101,8.71,9.32,10.53,2.2650952380952383,2.316095238095238
2005-11-01,0.82,2.6843636363636363,67.04,3.4121058801752424,8.71,9.32,10.53,2.1932727272727273,2.3283181818181817
2005-12-01,0.8,2.7832857142857144,67.184,3.7350420751949276,8.71,9.32,10.53,2.102818181818182,2.3010434782608695
2006-01-01,0.82,2.8334545454545452,66.912,4.193462993818042,9.03,8.41,10.17,2.168,2.312095238095238
2006-02-01,0.81,2.9141500000000002,66.944,3.972913366259756,9.03,8.41,10.17,2.2228695652173913,2.31
2006-03-01,0.78,3.1053478260869567,67.418,3.887818784189867,9.03,8.41,10.17,2.2195,2.334761904761905
2006-04-01,0.79,3.2214444444444443,68.369,3.8569041470454257,8.44,8.71,9.32,2.4135714285714287,2.2650952380952383
2006-05-01,0.79,3.307818181818182,68.615,4.031475529140627,8.44,8.71,9.32,2.6843636363636363,2.1932727272727273
2006-06-01,0.76,3.4005454545454543,68.719,3.9464528815610356,8.44,8.71,9.32,2.7832857142857144,2.102818181818182
2006-07-01,0.76,3.538619047619048,68.31,3.9646906628110656,8.08,9.03,8.41,2.8334545454545452,2.168
